600096 云天化 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	19.60	20.05	19.28	19.31	2931049	58603408.00
20111011	19.90	20.00	18.40	18.63	6260671	122341776.00
20111012	18.68	19.67	18.30	19.39	6590611	126787176.00
20111013	19.28	19.70	19.10	19.53	5241256	103421280.00
20111014	19.46	19.79	19.35	19.68	3649815	72734000.00
20111017	19.70	20.11	19.56	19.91	3516650	70812888.00
20111018	19.78	20.20	19.00	19.04	3818089	75488608.00
20111019	18.69	19.29	18.69	19.18	2079252	40165232.00
20111020	18.96	19.16	18.00	18.13	4209242	78571728.00
20111021	18.14	18.20	17.40	17.56	3181812	57494904.00
20111024	17.59	17.91	17.16	17.77	3173695	56607952.00
20111025	17.83	18.39	17.78	18.30	5422080	100205232.00
20111027	18.50	18.88	18.24	18.34	3805200	71449184.00
20111028	18.78	19.47	18.60	19.22	6788941	131799992.00
20111031	19.25	19.90	19.25	19.61	6282637	125384712.00
20111101	19.40	19.73	19.14	19.33	5302707	104369960.00
20111102	19.04	19.36	18.57	19.34	4804887	92240232.00
20111103	19.50	19.79	19.34	19.57	6123862	121934992.00
20111104	19.85	20.60	19.85	20.40	10625148	217910736.00
20111107	20.34	20.50	19.95	20.13	5148441	105403456.00
20111108	20.14	20.34	19.46	19.51	3880897	78279464.00
20111109	19.66	19.96	19.50	19.88	2731457	54736068.00
20111110	19.65	19.81	19.49	19.72	3282636	65394832.00
20111111	19.70	19.95	19.41	19.63	2561532	51021316.00
20111114	19.90	20.00	19.63	19.91	4226120	85151168.00
20111115	19.97	20.20	19.68	20.19	6018519	121474944.00
20111116	20.06	20.28	19.68	19.84	4834940	97866584.00
20111117	19.81	19.84	19.43	19.44	4095326	81494800.00
20111118	19.38	19.48	18.77	18.97	3699110	71497280.00
20111121	18.95	18.95	18.14	18.33	5499947	102730712.00
20111122	18.15	18.34	17.92	18.31	3600854	66316112.00
20111123	18.31	18.38	18.04	18.05	2165920	40012232.00
20111124	17.93	18.75	17.79	18.60	3904467	72951088.00
20111125	18.48	18.59	18.19	18.29	2067227	38659328.00
20111128	18.38	18.40	18.09	18.32	1668394	30922376.00
20111129	18.50	18.70	18.30	18.62	3105174	58467452.00
20111130	18.69	18.69	17.75	17.99	2957264	54640408.00
20111201	18.60	19.15	18.50	18.58	8277320	158430768.00
20111202	18.45	18.75	18.33	18.73	4826984	91123936.00
20111205	18.72	18.80	18.25	18.33	1469417	27453188.00
20111206	18.27	18.55	17.58	17.84	3228562	58686972.00
20111207	17.85	18.14	17.71	18.01	1501109	27387684.00
20111208	18.05	18.18	17.70	17.96	1279093	23360008.00
20111209	17.90	18.06	17.61	17.69	1596060	28932988.00
20111212	17.67	17.80	17.13	17.62	874595	15691032.00
20111213	17.45	17.59	16.94	16.94	2854332	49904224.00
20111214	16.87	17.09	16.13	16.46	2549319	43212536.00
20111215	16.40	16.40	15.60	15.65	2817951	45666932.00
20111216	15.65	15.93	15.32	15.86	2841388	45382096.00
20111219	15.80	16.05	15.46	16.01	2806921	44930780.00
20111220	15.98	16.30	15.92	15.95	1832678	30060258.00
20111221	16.19	16.30	15.45	15.57	2581115	41758184.00
20111222	15.51	15.51	14.75	15.05	5830303	89030776.00
20111223	15.06	15.24	14.80	15.01	3522236	53979288.00
20111226	15.06	15.22	14.59	14.98	2344886	35787816.00
20111227	14.97	14.97	14.39	14.49	2212238	33125652.00
20111228	14.40	14.69	14.20	14.52	2725179	40254968.00
20111229	14.30	14.62	14.28	14.50	2688843	39687784.00
20111230	14.55	14.66	14.36	14.58	2704115	40126452.00
20120104	14.69	14.80	13.66	13.86	3750555	54388648.00
20120105	13.70	13.70	12.44	12.44	11015754	144273712.00
20120106	12.30	12.40	11.78	12.20	10673767	131103584.00
20120109	12.12	12.87	11.87	12.81	8385743	107322168.00
20120110	12.80	13.93	12.70	13.81	11028883	151576048.00
20120111	13.89	14.27	13.68	13.69	6940531	98774640.00
20120112	13.69	14.32	13.55	14.09	7088851	101388136.00
20120113	14.09	14.09	13.19	13.46	7645942	105897352.00
20120116	13.20	13.46	12.90	12.92	3479797	46975868.00
20120117	12.93	14.19	12.82	14.12	5902343	82065744.00
20120118	14.15	14.70	14.02	14.21	6549947	96512192.00
20120119	14.13	14.73	14.00	14.58	4842422	71714448.00
20120120	14.40	14.84	14.40	14.73	4979898	74603296.00
20120130	14.72	14.85	14.48	14.59	2953949	44243908.00
20120131	14.53	14.70	14.40	14.54	1754480	26028690.00
20120201	14.51	14.60	13.85	13.95	4192512	61002888.00
20120202	14.02	14.43	13.85	14.39	2956945	42662420.00
20120203	14.41	15.24	14.22	15.07	5956637	90430800.00
20120206	15.08	15.60	14.76	15.53	5690813	89377168.00
20120207	15.40	15.40	14.89	15.08	3204448	49322724.00
20120208	14.96	15.98	14.86	15.90	5190067	82130704.00
20120209	15.86	16.18	15.60	15.74	5851931	94688376.00
20120606	17.34	17.34	17.34	17.34	22496510	396838432.00
20120607	17.48	18.00	16.37	16.97	51361653	894671872.00
20120608	16.78	16.78	15.96	16.02	21277981	354017536.00
20120611	15.83	15.98	15.28	15.51	17324719	273591008.00
20120612	15.34	16.06	15.12	15.72	15307824	243663712.00
20120613	15.59	15.80	15.17	15.75	15135923	239148544.00
20120614	15.57	15.69	15.11	15.17	11209083	176209840.00
20120615	15.20	15.31	14.40	14.56	15031006	226028560.00
20120618	14.57	14.76	14.40	14.59	7518380	112000240.00
20120619	14.58	14.58	14.07	14.09	11150485	162031168.00
20120620	14.12	14.29	13.97	14.00	7639420	109941792.00
20120621	13.99	13.99	13.54	13.61	8608620	120526520.00
20120625	13.40	13.50	13.10	13.12	6514166	88592624.00
20120626	13.00	13.35	12.91	13.26	5675270	76785632.00
20120627	13.26	13.33	13.04	13.09	5237961	70567728.00
20120628	13.12	13.18	12.70	12.71	4661478	61805940.00
20120629	12.63	13.03	12.51	12.96	4922277	64542480.00
20120702	13.01	13.45	13.00	13.39	7991431	108797872.00
20120703	13.45	13.47	13.15	13.26	4706399	63238900.00
20120704	13.31	13.47	13.01	13.13	3764527	50088364.00
20120705	13.13	13.13	12.41	12.57	5934553	75916576.00
20120706	12.69	12.90	12.25	12.83	6641862	84106408.00
20120709	12.69	12.73	12.26	12.28	6384126	80229848.00
20120710	12.24	12.48	12.10	12.43	4449623	55384808.00
20120711	12.40	13.07	12.21	13.06	8955584	115566896.00
20120712	12.90	13.87	12.85	13.59	14730779	199236416.00
20120713	13.60	14.03	13.48	13.59	11006766	152561328.00
20120716	13.70	13.96	13.48	13.59	9054378	125181192.00
20120717	13.55	14.03	13.35	13.95	9296487	129440040.00
20120718	13.98	14.19	13.72	14.02	6915138	96978568.00
20120719	14.00	14.10	13.66	13.77	7338584	102771200.00
20120720	13.70	13.80	13.38	13.74	6054302	82840088.00
20120723	13.65	13.84	13.45	13.48	3644483	50005988.00
20120724	13.23	13.26	12.72	12.86	8463281	110647456.00
20120725	12.71	12.83	12.50	12.58	5440477	69314384.00
20120726	12.52	12.70	12.41	12.57	3424485	43492220.00
20120727	12.64	12.71	12.54	12.65	2446890	31156708.00
20120730	12.65	12.67	12.10	12.26	5604308	69332336.00
20120731	12.20	12.27	11.33	11.51	11546855	134902288.00
20120801	11.47	11.77	11.35	11.65	4573711	53593284.00
20120802	11.60	11.68	11.33	11.39	3337838	38634796.00
20120803	11.42	11.77	11.42	11.76	4186544	49233600.00
20120806	11.76	12.06	11.70	12.04	6703791	80564336.00
20120807	12.04	12.38	12.01	12.15	5341393	65838100.00
20120808	12.11	12.34	12.10	12.18	3710217	45686740.00
20120809	12.11	12.45	12.06	12.31	5381253	66637884.00
20120810	12.30	12.47	12.15	12.43	4205813	52524788.00
20120813	12.50	12.50	11.97	11.98	3956458	48544528.00
20120814	11.99	12.11	11.67	12.05	4259108	51120396.00
20120815	12.03	12.03	11.70	11.78	4409369	52651744.00
20120816	11.82	11.90	11.69	11.78	2632199	31343460.00
20120817	11.81	12.08	11.81	11.96	4010148	48382052.00
20120820	11.93	12.06	11.81	11.99	2955321	35473904.00
20120821	11.98	12.18	11.94	12.07	3210474	39088376.00
20120822	12.06	12.06	11.77	11.85	3580744	43046000.00
20120823	11.93	12.15	11.79	12.10	4145536	50142568.00
20120824	12.02	12.26	11.98	12.00	4911990	60111920.00
20120827	11.90	11.91	11.46	11.67	3797276	44628056.00
20120828	11.70	11.82	11.47	11.70	2818516	33071144.00
20120829	11.80	11.80	11.51	11.66	2255127	26450904.00
20120830	11.68	11.70	11.40	11.56	2839485	33050950.00
20120831	11.55	11.80	11.20	11.66	2370153	27880128.00
20120903	11.65	11.81	11.46	11.75	2254639	26607520.00
20120904	11.75	11.87	11.68	11.77	2112871	25097286.00
