600097 开创国际 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	10.95	10.95	10.67	10.74	745970	8520042.00
20111011	11.01	11.01	10.68	10.75	998618	11441098.00
20111012	10.80	11.65	10.71	11.58	5776924	69620528.00
20111013	11.58	12.01	11.45	11.91	5724697	70704792.00
20111014	11.84	11.84	11.36	11.56	3082404	37670456.00
20111017	11.57	11.66	11.43	11.62	2258380	27541698.00
20111018	11.64	11.96	11.54	11.72	3720575	46086884.00
20111019	12.04	12.23	11.54	11.59	4643982	58356328.00
20111020	11.32	11.32	10.67	10.91	2639545	30606544.00
20111021	10.79	10.86	10.48	10.55	1673362	18863092.00
20111024	10.75	10.84	10.05	10.77	2069092	23037108.00
20111025	10.74	11.08	10.56	10.98	2517602	29036004.00
20111026	10.85	11.16	10.76	10.93	2377839	27640246.00
20111027	11.01	11.22	10.88	11.03	2041049	23852500.00
20111028	11.15	11.41	11.09	11.35	2278404	27060728.00
20111031	11.50	11.80	11.44	11.56	2904979	35629444.00
20111101	11.56	11.65	11.40	11.57	1606569	19530632.00
20111102	11.40	11.72	11.26	11.70	2206634	26781676.00
20111103	11.81	12.18	11.67	11.79	3455791	43680088.00
20111104	11.82	12.07	11.68	11.95	2310222	28886348.00
20111107	11.94	12.08	11.74	11.76	1492553	18656978.00
20111108	11.75	11.93	11.47	11.52	2170008	26812624.00
20111109	11.52	11.68	11.37	11.63	1680489	20440548.00
20111110	11.53	11.76	11.41	11.64	1856418	22662030.00
20111111	11.70	12.60	11.70	12.29	6395948	82151488.00
20111114	12.36	12.51	12.16	12.43	3646286	47271808.00
20111115	12.40	12.48	12.18	12.45	2451429	31779258.00
20111116	12.49	12.53	11.91	11.93	2508326	32115416.00
20111117	11.99	12.12	11.87	11.94	1449955	18310304.00
20111118	11.79	11.83	11.35	11.42	2017262	24602450.00
20111121	11.37	11.52	11.24	11.48	1037224	12450656.00
20111122	11.34	11.64	11.25	11.61	1368966	16594324.00
20111123	11.55	11.67	11.40	11.44	1165494	14158559.00
20111124	11.27	11.50	11.18	11.34	1098479	13153158.00
20111125	11.26	11.40	10.92	11.01	1842425	21654962.00
20111128	11.06	11.23	10.96	11.19	1076187	12669434.00
20111129	11.30	11.47	11.28	11.45	1611313	19368716.00
20111130	11.50	11.50	10.69	10.77	1784930	20756532.00
20111201	11.14	11.23	10.92	10.96	1602369	18764724.00
20111202	10.96	10.96	10.61	10.69	942518	10703454.00
20111205	10.57	10.74	10.29	10.30	804290	8914910.00
20111206	10.30	10.45	10.22	10.36	864438	9516729.00
20111207	10.36	10.43	10.22	10.30	860951	9433507.00
20111208	10.26	10.44	10.07	10.35	852587	9311493.00
20111209	10.17	10.38	10.17	10.25	504047	5502520.00
20111212	10.16	10.53	10.16	10.36	789599	8697568.00
20111213	10.26	10.63	10.08	10.62	1740641	19173492.00
20111214	10.55	10.80	10.42	10.71	2280596	25813632.00
20111215	10.67	10.67	9.86	9.93	1895401	20653420.00
20111216	9.94	10.12	9.52	10.11	1610370	16777252.00
20111219	10.04	10.04	9.64	9.95	1132042	11887992.00
20111220	9.81	10.14	9.81	9.84	915596	9748553.00
20111221	9.97	10.10	9.68	9.83	985371	10409336.00
20111222	9.83	10.08	9.52	9.99	1143957	12009316.00
20111223	9.80	10.11	9.80	9.98	1069680	11403056.00
20111226	9.99	10.20	9.88	10.14	1269999	13620323.00
20111227	10.14	10.14	9.54	9.57	1043319	10967785.00
20111228	9.57	9.71	9.06	9.45	1295516	12916156.00
20111229	9.36	9.50	9.29	9.34	705092	7065234.00
20111230	9.41	9.52	9.36	9.47	679596	6855241.00
20120104	9.50	9.61	8.93	8.96	904744	9049711.00
20120105	8.91	9.05	8.46	8.47	1042882	9702387.00
20120106	8.51	8.65	8.36	8.65	797668	7290079.00
20120109	8.61	9.03	8.57	8.99	921859	8728884.00
20120110	9.01	9.52	8.99	9.47	1669781	16720789.00
20120111	9.47	9.52	9.26	9.42	1353085	13544723.00
20120112	9.31	9.52	9.28	9.37	840175	8429298.00
20120113	9.47	9.49	8.97	9.06	1024947	10031160.00
20120116	8.86	9.01	8.56	8.60	556597	5270923.00
20120117	8.62	9.28	8.54	9.22	1257467	12103259.00
20120118	9.16	9.34	8.89	8.92	765083	7497739.00
20120119	9.14	9.29	8.97	9.19	832478	8128042.00
20120120	9.19	9.49	9.17	9.37	1224591	12253001.00
20120130	9.47	9.52	9.31	9.39	1007586	10124803.00
20120131	9.38	9.38	9.15	9.23	870883	8582630.00
20120201	9.24	9.41	9.15	9.21	1098680	10860127.00
20120202	9.26	9.84	9.26	9.71	2926959	30043988.00
20120203	9.74	9.74	9.54	9.68	1791309	18409150.00
20120206	9.68	9.86	9.56	9.84	1859872	19312220.00
20120207	9.71	9.83	9.43	9.55	1429714	14586066.00
20120208	9.46	9.78	9.46	9.75	1450430	14981551.00
20120209	9.80	9.91	9.65	9.68	2276849	23722604.00
20120210	9.67	9.88	9.63	9.75	1894858	19694034.00
20120213	9.76	10.06	9.72	9.91	2199756	23241256.00
20120214	9.78	9.89	9.72	9.84	1527947	15937108.00
20120215	9.77	9.99	9.73	9.93	2031697	21411284.00
20120216	9.96	10.15	9.90	10.10	2540666	27159648.00
20120217	10.12	10.13	9.95	10.03	1287408	13748851.00
20120220	10.14	10.18	9.89	9.92	2419732	25852676.00
20120221	9.96	9.97	9.72	9.96	2283480	23901012.00
20120222	9.98	10.16	9.91	10.16	2415224	25911792.00
20120223	10.19	10.46	10.09	10.38	3702602	40522940.00
20120224	10.38	10.54	10.32	10.54	3744759	41524268.00
20120227	10.62	10.68	10.38	10.40	3522609	39427432.00
20120228	10.40	10.60	10.21	10.55	3180058	35046912.00
20120229	10.59	10.94	10.36	10.90	5058980	57485472.00
20120301	10.95	11.54	10.91	11.33	7440876	89135728.00
20120302	11.31	11.50	11.17	11.40	4327255	51939916.00
20120305	11.41	11.46	11.12	11.18	4632407	54984644.00
20120306	11.07	11.44	10.75	11.43	5608691	65873132.00
20120307	11.16	11.73	11.12	11.23	4110491	49691920.00
20120308	11.30	11.36	11.04	11.27	2411480	28601880.00
20120309	11.23	11.41	11.17	11.37	2238247	26725684.00
20120312	11.35	11.54	11.30	11.43	2481088	29876290.00
20120313	11.54	11.54	11.31	11.43	1849220	22273090.00
20120314	11.45	11.51	10.55	10.68	3752288	44299288.00
20120315	10.66	10.84	10.45	10.55	2207931	24840416.00
20120316	10.61	11.01	10.55	10.98	2392705	27415296.00
20120319	11.08	11.22	10.99	11.13	2287326	26829784.00
20120320	11.05	11.05	10.66	10.69	1563468	17955556.00
20120321	10.72	10.89	10.56	10.76	1140683	12963103.00
20120322	10.69	10.83	10.60	10.73	929150	10543377.00
20120323	10.72	10.75	10.36	10.39	1212920	13513680.00
20120326	10.24	10.47	10.24	10.33	649206	7115212.00
20120327	10.44	10.51	10.29	10.31	630047	6955683.00
20120328	10.36	10.36	9.83	9.91	1201565	12844265.00
