600098 广州发展 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	5.02	5.08	4.95	4.96	1423113	8349443.00
20111011	5.06	5.11	4.82	4.88	2149760	12643043.00
20111012	4.88	5.03	4.84	5.02	4676490	27331616.00
20111013	5.01	5.08	4.96	5.05	3021844	17895704.00
20111014	5.03	5.06	4.97	5.00	1461271	8601519.00
20111017	5.02	5.06	4.98	5.01	1709414	10085270.00
20111018	4.98	5.04	4.87	4.87	1930850	11226879.00
20111019	4.92	4.96	4.80	4.80	1587862	9120374.00
20111020	4.78	4.88	4.56	4.82	3530111	19705208.00
20111021	4.87	5.03	4.68	4.88	4980930	28683782.00
20111024	4.87	4.96	4.73	4.95	4464681	25612684.00
20111025	4.93	5.08	4.87	5.03	4405891	25881716.00
20111026	5.00	5.07	4.97	5.00	4395450	25985930.00
20111027	4.99	5.24	4.98	5.06	6228687	37480176.00
20111028	5.13	5.25	5.05	5.11	6164577	36883540.00
20111031	5.11	5.28	4.97	5.25	8035629	48296776.00
20111101	5.15	5.44	5.13	5.41	8655857	53588064.00
20111102	5.31	5.45	5.24	5.44	4492150	28009568.00
20111103	5.42	5.55	5.24	5.32	6619430	41622108.00
20111104	5.31	5.43	5.30	5.35	4112340	25678172.00
20111107	5.32	5.60	5.32	5.44	8492672	54058916.00
20111108	5.47	5.79	5.47	5.69	9983998	65395872.00
20111109	5.65	5.75	5.53	5.68	4946047	32304762.00
20111110	5.62	5.72	5.55	5.62	5464238	35696568.00
20111111	5.61	5.64	5.54	5.60	1917929	12388496.00
20111114	5.65	5.83	5.62	5.75	3739892	24800178.00
20111115	5.73	5.90	5.73	5.83	3614646	24300600.00
20111116	5.82	5.82	5.54	5.55	4610303	30137916.00
20111117	5.55	5.69	5.53	5.61	1733281	11245874.00
20111118	5.60	5.60	5.44	5.46	2139022	13617883.00
20111121	5.46	5.50	5.32	5.39	1134685	7121036.00
20111122	5.34	5.45	5.34	5.39	1434209	9009040.00
20111123	5.42	5.47	5.30	5.34	1912826	11965306.00
20111124	5.30	5.41	5.18	5.34	2483022	15371665.00
20111125	5.34	5.43	5.27	5.40	1730131	10833012.00
20111128	5.47	5.64	5.42	5.57	3412740	21956508.00
20111129	5.67	5.70	5.50	5.51	2732754	17646700.00
20111130	5.52	5.66	5.29	5.32	3155017	20106686.00
20111201	5.47	5.63	5.38	5.53	3009192	19257660.00
20111202	5.51	5.53	5.24	5.39	3018715	18983946.00
20111205	5.39	5.48	5.26	5.28	1252155	7813530.00
20111206	5.28	5.38	5.22	5.32	1012065	6255575.00
20111207	5.28	5.57	5.28	5.52	4064267	25929764.00
20111208	5.50	5.65	5.43	5.46	3924856	25223042.00
20111209	5.32	5.55	5.32	5.46	2386639	15205699.00
20111212	5.47	5.64	5.41	5.63	5522198	35469968.00
20111213	5.64	5.71	5.46	5.54	10130677	65947408.00
20111214	5.53	5.87	5.45	5.80	10597721	70527352.00
20111215	5.76	6.07	5.70	6.03	12216415	83417168.00
20111216	6.02	6.08	5.93	6.07	8239160	56794892.00
20111219	5.95	6.17	5.94	5.99	11150919	77519160.00
20111220	5.99	6.13	5.88	5.89	5066152	34814008.00
20111221	5.89	6.07	5.79	5.80	4326365	29729112.00
20111222	5.76	6.04	5.72	6.03	4951514	33713940.00
20111223	6.03	6.12	5.92	5.97	5999741	41492696.00
20111226	5.96	6.10	5.86	6.01	5874898	40305900.00
20111227	6.02	6.10	5.80	5.81	4841918	33083250.00
20111228	5.76	6.00	5.70	5.99	5825844	38918388.00
20111229	5.94	6.04	5.84	5.93	2371310	16271692.00
20111230	5.90	6.08	5.87	6.03	3025806	20856388.00
20120104	6.02	6.29	6.02	6.19	8071202	57218448.00
20120106	6.09	6.09	5.63	5.87	7007324	47091800.00
20120109	5.75	5.95	5.68	5.94	5503127	36793336.00
20120110	5.97	6.11	5.87	6.09	9928161	68442128.00
20120111	6.05	6.38	5.98	6.21	13600593	96465968.00
20120112	6.13	6.31	6.06	6.13	6825126	47988068.00
20120113	6.15	6.18	5.82	5.84	5134421	34965420.00
20120116	5.81	5.92	5.74	5.75	2518854	16866634.00
20120117	5.73	6.01	5.73	5.98	2790304	18937304.00
20120118	6.01	6.12	5.94	6.11	5314788	36802276.00
