600099 林海股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.31	7.46	7.31	7.39	623980	4641509.00
20111011	7.55	7.77	7.41	7.67	1421939	10908018.00
20111012	7.70	7.88	7.70	7.85	958436	7503681.00
20111013	7.80	8.04	7.73	7.93	864669	6855156.00
20111014	7.86	8.24	7.81	8.03	1239629	10078652.00
20111017	8.05	8.20	7.95	8.00	660329	5361574.00
20111018	7.95	7.98	7.57	7.63	664374	5193139.00
20111019	7.80	7.80	7.60	7.72	410434	3177665.00
20111020	7.72	7.75	7.51	7.63	784368	6026978.00
20111021	7.64	7.70	7.50	7.61	488302	3740397.00
20111024	7.64	7.95	7.52	7.95	1169328	9164040.00
20111025	7.91	8.35	7.91	8.29	2254041	18549936.00
20111026	8.40	8.52	8.17	8.49	3113178	26119456.00
20111027	8.80	8.80	8.27	8.61	2138028	18166632.00
20111028	9.45	9.48	8.25	8.41	10923720	95372104.00
20111031	8.30	8.36	8.09	8.13	4938708	40657012.00
20111101	8.10	8.19	8.01	8.05	3909871	31799858.00
20111102	7.93	8.19	7.90	8.17	3813950	30886770.00
20111103	8.17	8.25	8.05	8.07	4573179	37564096.00
20111104	8.11	8.25	8.07	8.20	4844061	39845672.00
20111107	8.19	8.20	8.02	8.07	2341364	19111762.00
20111108	8.05	8.16	8.05	8.06	1454491	11837800.00
20111109	8.07	8.13	7.98	8.11	1464169	11865514.00
20111110	8.01	8.06	7.83	7.84	1890287	15086233.00
20111111	7.84	7.92	7.74	7.84	1305446	10263265.00
20111114	7.88	8.01	7.85	8.00	1520978	12162110.00
20111115	8.03	8.07	7.95	7.98	2075782	16704931.00
20111116	8.03	8.04	7.70	7.72	1697885	13493709.00
20111117	7.70	7.80	7.67	7.71	989758	7706811.00
20111118	7.70	7.70	7.50	7.54	1304970	9962821.00
20111121	7.60	7.60	7.43	7.55	765654	5778819.00
20111122	7.53	7.59	7.46	7.56	615907	4668239.00
20111123	7.60	7.63	7.51	7.51	536212	4077124.00
20111124	7.48	7.53	7.41	7.48	792893	5957291.00
20111125	7.45	7.61	7.40	7.48	720714	5440309.00
20111128	7.46	7.49	7.37	7.48	596363	4466814.00
