600100 同方股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
20111010	7.22	7.27	7.09	7.20	8191644	65000444.00
20111011	7.39	7.43	7.16	7.23	12457634	100526336.00
20111012	7.19	7.51	7.13	7.49	20023380	163393312.00
20111013	7.51	7.63	7.45	7.54	20776094	172601568.00
20111014	7.52	7.56	7.36	7.46	11550167	94706504.00
20111017	7.48	7.53	7.37	7.46	11537556	94656408.00
20111018	7.38	7.45	7.22	7.27	16161951	130693552.00
20111019	7.25	7.31	7.10	7.11	13078216	103979160.00
20111020	7.05	7.09	6.70	6.72	16680643	126280112.00
20111021	6.78	6.79	6.40	6.41	18398985	134246656.00
20111024	6.35	6.47	6.21	6.44	24964158	177759616.00
20111025	6.44	7.16	6.32	7.16	42861203	325319456.00
20111026	7.31	7.95	7.24	7.95	155745613	1320115968.00
20111027	7.84	7.92	7.71	7.85	85168457	729036224.00
20111028	7.89	8.13	7.80	8.03	91998794	804504320.00
20111031	7.99	8.12	7.82	8.11	61361772	533584704.00
20111101	7.98	8.41	7.97	8.20	86544388	775237760.00
20111102	7.98	9.10	7.95	9.07	123366701	1147791616.00
20111103	9.06	9.57	8.96	9.00	149371815	1498835328.00
20111104	9.00	9.23	8.81	9.05	70012388	681576960.00
20111107	8.99	9.32	8.85	9.08	49576848	488307008.00
20111108	9.09	9.49	8.90	9.35	72148347	720968128.00
20111109	9.34	9.51	8.99	9.47	71411298	716108672.00
20111110	9.29	9.70	9.15	9.21	80399703	816889728.00
20111111	9.19	9.62	9.06	9.28	65838356	664291136.00
20111114	9.45	9.47	9.25	9.42	43554354	441259392.00
20111115	9.44	9.59	9.28	9.48	55525497	566703360.00
20111116	9.46	9.72	9.14	9.19	80108619	817673344.00
20111117	9.26	9.30	8.90	8.93	54657981	536273280.00
20111118	8.76	8.90	8.31	8.37	69396151	646113152.00
20111121	8.37	8.52	8.35	8.47	35474094	326086528.00
20111122	8.39	8.63	8.30	8.60	36821125	340069248.00
20111123	8.60	8.65	8.36	8.41	33117841	306490464.00
20111124	8.33	8.91	8.29	8.83	68525453	646147648.00
20111125	8.74	8.82	8.49	8.59	36519963	343236512.00
20111128	8.59	8.64	8.39	8.50	22291820	206008336.00
20111129	8.60	8.62	8.36	8.57	32892920	304240800.00
20111130	8.54	8.54	7.65	7.79	52465077	463412928.00
20111201	8.16	8.31	8.02	8.06	42009764	374746016.00
20111202	7.97	8.07	7.76	7.90	21934717	189582704.00
20111205	7.88	7.88	7.45	7.56	22563903	189958880.00
20111206	7.54	7.85	7.39	7.69	22291145	186794624.00
20111207	7.73	7.90	7.64	7.80	21712593	185401648.00
20111208	7.75	8.21	7.53	8.03	37825162	328366176.00
20111209	7.89	8.13	7.83	7.98	22086539	192244448.00
20111212	7.92	8.01	7.63	7.71	18367577	158206816.00
20111213	7.62	7.67	7.34	7.47	22831802	188469328.00
20111214	7.40	7.65	7.40	7.53	18686441	154877568.00
20111215	7.52	8.36	7.38	8.06	129151596	1149393792.00
20111216	7.89	8.39	7.84	8.35	77819067	696245760.00
20111219	8.24	8.72	8.16	8.60	74286499	686715904.00
20111220	8.54	8.61	8.24	8.36	46435184	427284736.00
20111221	8.44	8.90	8.34	8.36	61975463	581630464.00
20111223	8.42	8.70	8.36	8.46	45949614	427290016.00
20111226	8.59	8.67	8.31	8.34	30510860	282072544.00
20111227	8.19	8.29	7.43	7.79	58993534	501855424.00
20111228	7.59	7.78	7.36	7.64	22498457	187442736.00
20111229	7.59	7.81	7.55	7.71	21197717	179475312.00
20111230	7.79	8.06	7.67	8.04	28434490	245261840.00
20120104	8.12	8.16	7.64	7.69	20438260	177750192.00
20120105	7.54	7.69	7.40	7.41	19793375	164054656.00
20120106	7.36	7.97	7.34	7.91	33859558	288074144.00
20120109	7.91	8.78	7.87	8.78	78451049	731590208.00
20120110	8.76	9.05	8.64	8.99	89324489	859316096.00
20120111	8.84	9.19	8.79	8.99	63692115	621709952.00
20120112	8.90	9.37	8.90	9.09	57857441	573784704.00
20120113	9.09	9.16	8.60	8.70	55564569	530787200.00
20120117	8.49	9.54	8.43	9.29	75603614	738752192.00
20120118	9.24	9.40	8.48	8.55	76244523	743109376.00
20120119	8.49	8.75	8.39	8.68	34445067	323369920.00
20120120	8.72	8.87	8.64	8.73	22743139	216568592.00
20120130	8.79	9.58	8.66	9.17	60570002	602820032.00
20120131	9.08	9.50	9.06	9.26	49042712	493099488.00
20120201	9.29	9.69	9.19	9.45	84938048	872603328.00
20120202	9.46	9.59	9.20	9.54	57825274	587307520.00
20120203	9.47	9.83	9.24	9.64	75648221	778448128.00
20120206	9.64	9.64	9.34	9.55	46928509	481085056.00
20120207	9.46	9.61	9.30	9.40	47249049	481814432.00
20120208	9.50	9.89	9.34	9.76	88640296	918531968.00
20120209	9.66	9.79	9.56	9.59	54533114	568228480.00
20120210	9.53	9.70	9.34	9.41	55464308	567796928.00
20120213	9.30	10.00	9.24	9.98	85977582	897423680.00
20120214	9.94	9.95	9.70	9.78	54030074	571084928.00
20120215	9.78	10.12	9.74	9.81	69447049	741966848.00
20120216	9.80	9.87	9.54	9.64	54228247	567414528.00
20120217	9.64	9.82	9.61	9.67	30406193	318001024.00
20120220	9.85	9.94	9.59	9.62	40596720	427640384.00
20120221	9.59	9.97	9.45	9.90	61215062	643539968.00
20120222	9.93	10.08	9.76	10.01	55150640	590347968.00
20120223	9.96	10.31	9.92	10.00	66929523	728929280.00
20120224	10.00	10.21	9.85	10.10	56093100	604918464.00
20120227	10.02	10.56	10.02	10.26	92522032	1025754816.00
20120228	10.24	10.40	10.12	10.26	46934433	515591296.00
20120229	10.22	10.26	10.00	10.03	36503637	395822432.00
20120301	9.96	10.22	9.95	10.06	26438898	287111584.00
20120302	10.09	10.30	10.06	10.22	34784669	380614944.00
20120305	10.22	10.35	10.00	10.03	43896189	479190272.00
